A2APB8,P58044
P58044,Q545N8
Q545N8,P97450
F6TWM7,P63254
P97450,Q9D1Q6
P63254,Q61655
Q9D1Q6,A2AUE1
Q61655,P97352
Q8BNU0,P35951
A2AUE1,Q9QYI3
Q8BHC0,Q8BHC0
P35951,F8WIT2
Q9QYI3,E0CYH4
P97352,O35955
E0CY63,Q9R1T4
F8WIT2,Q9D8U8
Q8BWU5,Q3TKV1
Q9CQJ2,B2RWH3
E0CYH4,E9PYK3
O35955,Q4FJX4
B2RTB0,Q8BGU5
Q5XJE5,B2RUJ2
Q9R1T4,A2A5V2
Q9D8U8,Q3V117
Q3TKV1,Q3UFK8
F8VQE2,A8DUK4
B2RWH3,Q149Z9
E9PYK3,Q9Z0E6
Q4FJX4,Q8BRF7
Q922T2,Q9CWJ9
P97377,P29387
Q8BGU5,P27601
B2RUJ2,P56480
Q3UKJ7,Q58E49
Q8CBY8,E9PVA6
A2A5V2,Q9ERB0
Q3V117,Q3U0V1
Q3TKD1,Q5BL18
Q9CX53,P27512
Q3UFK8,E9PYG5
A8DUK4,P61202
Q149Z9,E9PZF0
Q80V26,H3BJQ3
Q9Z0E6,Q4FJQ0
Q8BRF7,G5E8T3
E9Q4V9,D3Z645
Q9CWJ9,Q91VR5
P29387,Q05D44
P27601,Q3U5Q7
P56480,Q9Z2X1
Q8CAS9,O35405
Q58E49,Q3TCU5
E9PVA6,Q3UI57
Q60819,Q542J3
Q9ERB0,Q8R4L0
Q3U0V1,Q8R016
Q5BL18,Q6ZWR0
Q8K352,Q3TMN1
B2RUE8,F7A1B4
Q99KD5,Q64511
P27512,A6H667
E9PYG5,Q9JHF5
P61202,P01849
E9PZF0,Q3UHH5
H3BJQ3,Q8C605
Q4FJQ0,Q8CFB4
Q75N62,Q3TN07
G5E8T3,Q6ZWV7
Q91VR5,Q8R1B4
D3Z645,Q3TA96
Q05D44,B2RT97
P60670,Q3TJY2
Q9Z2X1,Q62093
Q3U5Q7,P49722
O35405,P49710
Q9JHW2,Q922U1
F8WIE5,Q8C1B7
Q3TCU5,Q9D091
Q3UI57,O55222
Q542J3,Q6NS79
D3Z780,B2RXQ8
Q8R4L0,Q9CR16
Q9D2Y4,P54822
Q8R016,Q9D0T1
Q6ZWR0,Q3V3R4
G3X934,Q78P93
Q148S9,Q8CFB8
Q3TPL8,Q5M9K7
P62311,Q8CIN4
Q3TMN1,Q3TMX0
F7A1B4,Q8QZT1
Q64511,O08582
Q53ZU1,P62315
A6H667,Q3TMJ8
Q3U821,P01852
Q9JHF5,P0CW03
Q543N7,Q8R146
Q922J9,Q3U2G2
P01849,H3BKG0
Q3UHH5,Q9Z1N5
Q8C605,Q921I1
Q8CFB4,Q99J57
Q3TN07,Q921M3
Q543N6,Q99PU8
Q3UG16,P35762
E9PXM6,Q8C405
Q6ZWV7,Q5FWB7
Q8R1B4,F6VQH5
Q8VI84,Q64277
Q3TA96,Q9EST5
A0ELI5,Q61635
B2RT97,Q8BMJ2
Q3TJY2,Q61990
Q62093,E9QLL2
Q91WC9,G3UXT7
P49722,Q9CQW9
P49710,Q0PD35
A2A4Z1,Q5FW97
Q922U1,Q9CZN7
Q9DBX2,Q80V42
B1ASL3,P10711
Q0P688,P84078
Q8C1B7,P63321
Q9D091,Q99KN1
F6XJA1,Q9JM76
O55222,Q3TXR9
Q6NS79,P51859
P13609,Q811L7
B2RXQ8,P62748
Q9CR16,Q60769
P54822,A6H6H4
A2AQC8,D2KHZ9
Q9D0T1,Q545K4
Q3V3R4,Q4VAF2
Q6PDI5,Q9DBZ5
Q78P93,Q3TGF2
P14576,B2RXV4
Q5M9K7,Q62418
Q8CFB8,Q542F1
A0JNT9,A2CF65
Q8CIN4,Q6ZWY9
Q9CT10,Q7TMK9
Q3TMX0,Q7TNV0
E0CZ72,Q9WVA4
Q8QZT1,Q99PV0
O08582,O88685
P62315,P61164
Q60898,Q91W53
Q3TMJ8,P56135
P01852,Q3UMP4
P0CW03,Q8K2Y9
E9Q9D1,E9Q696
Q8R146,Q9CR26
F6YJB6,P51943
Q3U2G2,Q14AF6
Q9WTR1,O35127
Q5EBK7,E9Q6R7
Q60709,O54988
H3BKG0,Q9QUR7
Q9Z1N5,Q542X7
Q9D7M1,Q08943
O88324,P01731
Q921I1,Q6A0D4
Q14A47,Q3TS44
Q99J57,Q3UKQ5
Q921M3,P61965
Q9QZM4,Q8K2T8
P35762,Q61171
Q9D8W5,P62983
Q99PU8,P00493
Q8C405,Q8BGB5
P50396,Q9QUG9
Q5FW94,P34022
I6L9G2,Q3TSR1
Q3TAI3,Q91YR7
Q5FWB7,Q61035
F6VQH5,A2ALB1
O35226,Q546H1
Q64277,P70349
Q9EST5,Q3U9X2
Q61635,Q80TY0
Q8BMJ2,Q62318
Q3UGN9,P62869
Q61990,Q8BJY1
E9QLL2,Q80XR5
G3UXT7,Q499X4
Q9CQW9,Q9CQB4
Q0PD35,Q3UPA9
Q5FW97,Q5F2D9
Q9CZN7,Q80VP0
Q2TBA3,Q3TF14
Q80V42,P52480
Q61136,Q3TQR3
S4R2D5,Q78ZM0
P59708,P26443
P10711,Q9CQZ5
